id,city,postal_code,district,province,price,subtype,state_construction,living_area,terrace_area,garden_area,rooms,bedrooms,bathrooms,livingroom_surface,kitchen_surface,facades,has_garden,kitchen,furnished,fireplace,swimmingpool,has_terrace,has_attic,has_basement,construction_year,epc,heating,area_total
11359938,Herk-de-stad,3540,Hasselt,Limburg,675000,HOUSE,,,,1,,4,1,,,4,1,,0,0,0,0,0,0,,B,,
11283655,Middelkerke,8434,Oostend,West Flanders,250000,HOUSE,GOOD,300,1,1,,3,1,,,2,1,,0,0,0,1,1,1,,,GAS,300
11359924,Braine-le-château,1440,Nivelles,Walloon Brabant,1095000,HOUSE,GOOD,223,40,6000,,3,2,40,,4,1,1,0,1,0,1,0,1,,C,FUELOIL,6000
11071692,Izegem,8870,Roeselare,West Flanders,299000,HOUSE,JUST_RENOVATED,136,1,1,,4,1,,,2,1,1,0,0,0,1,1,1,,B,GAS,280
11359919,Vergnies,6440,Thuin,Hainaut,399000,HOUSE,GOOD,230,,1900,,3,2,11,10,4,1,1,0,0,0,1,0,1,,E,FUELOIL,1900
11359918,Wilrijk,2610,Antwerp,Antwerp,585000,HOUSE,GOOD,216,,,,5,1,,,2,0,1,0,0,0,1,0,0,1957,C,GAS,269
11359917,Forchies-la-marche,6141,Charleroi,Hainaut,100000,TOWN_HOUSE,GOOD,66,,,,2,1,30,,2,0,1,0,0,0,0,0,0,,G,ELECTRIC,
11359914,Roeselare,8800,Roeselare,West Flanders,295000,HOUSE,GOOD,150,,,,3,1,,,2,0,1,0,0,0,1,0,0,1899,B,GAS,60
11359913,Antwerpen wilrijk,2610,Antwerp,Antwerp,479000,HOUSE,TO_RENOVATE,300,,,,6,2,,,4,0,1,0,0,0,0,1,1,,F,GAS,300
11359912,Kortrijk,8500,Kortrijk,West Flanders,435000,HOUSE,AS_NEW,413,25,310,,5,1,,,2,1,1,0,0,0,1,0,0,1968,C,GAS,472
11359911,Deurne,2100,Antwerp,Antwerp,359000,HOUSE,GOOD,180,,,,3,1,,,2,0,1,0,0,0,1,0,0,1930,C,GAS,79
11359905,Châtelet,6200,Charleroi,Hainaut,259000,HOUSE,JUST_RENOVATED,200,16,600,,3,1,,,3,1,1,0,0,0,1,1,1,,D,GAS,700
11359904,Kapellen,2950,Antwerp,Antwerp,335000,HOUSE,GOOD,109,,65,,3,1,,,2,1,1,0,0,0,0,0,0,1966,C,GAS,181
11359903,Brugge,8000,Brugge,West Flanders,390000,HOUSE,AS_NEW,210,,,,3,2,,,2,0,1,0,0,0,1,1,0,,D,GAS,128
11359902,Flobecq,7880,Ath,Hainaut,595000,HOUSE,,300,,,,4,1,,,4,0,1,0,1,0,0,1,0,1987,C,ELECTRIC,2672
11359898,Thy-le-château,5651,Philippeville,Namur,145000,HOUSE,TO_BE_DONE_UP,,,,,3,2,,,4,0,1,0,0,0,0,1,0,,G,FUELOIL,460
10947210,Écaussinnes,7190,Soignies,Hainaut,305000,HOUSE,AS_NEW,174,15,300,12,4,1,20,8,3,1,1,0,1,0,1,1,0,2023,A,ELECTRIC,500
11359893,Tielt-winge,3390,Leuven,Flemish Brabant,469000,HOUSE,GOOD,171,,,,4,1,33,16,4,0,0,0,0,0,0,1,1,1936,C,FUELOIL,2400
11359892,Boutersem,3370,Leuven,Flemish Brabant,475000,HOUSE,,350,,,,6,2,33,33,4,0,0,0,0,0,0,0,0,1950,D,GAS,988
11359887,Uccle,1180,Brussels,Brussels,775000,HOUSE,GOOD,300,15,67,,3,2,,10,2,1,1,0,0,0,1,0,1,,G,GAS,160
11359885,Beauvechain,1320,Nivelles,Walloon Brabant,799000,HOUSE,GOOD,300,70,1100,,4,2,,,4,1,1,0,0,1,1,0,0,1993,C,FUELOIL,1200
11359882,Kortrijk,8500,Kortrijk,West Flanders,450000,HOUSE,TO_RENOVATE,330,,,,4,1,,,4,0,1,0,0,0,1,0,1,1979,E,,1196
11359879,Waregem,8791,Kortrijk,West Flanders,369000,HOUSE,GOOD,210,,,6,5,1,,,3,0,,0,1,0,1,1,1,,C,GAS,319
11359878,Sint-amandsberg,9040,Gent,East Flanders,795000,MANSION,GOOD,195,,,,3,1,50,,2,0,0,0,0,0,0,1,1,,B,,166
11359877,Blankenberge,8370,Brugge,West Flanders,199000,HOUSE,TO_RESTORE,135,,,4,3,1,,,2,0,,0,0,0,0,1,0,,E,GAS,225
11359875,Brasschaat,2930,Antwerp,Antwerp,1295000,VILLA,,306,68,,,4,2,105,,4,0,,0,0,0,1,1,1,1938,C,GAS,1914
11359870,Dendermonde,9200,Dendermonde,East Flanders,219000,HOUSE,GOOD,140,,,1,3,1,,,2,0,,0,0,0,0,0,0,,C,GAS,180
11359869,Hamme,9220,Dendermonde,East Flanders,849000,MANSION,AS_NEW,513,,,1,6,2,,,3,0,,0,0,0,0,0,0,1899,C,GAS,374
11359868,Zwijndrecht,2070,Antwerp,Antwerp,525000,HOUSE,AS_NEW,153,,,1,4,3,,,3,0,,0,0,0,0,0,0,1952,B,GAS,1657
11078679,Dessel,2480,Turnhout,Antwerp,299000,HOUSE,TO_BE_DONE_UP,167,,,1,4,1,36,15,4,0,0,0,0,0,1,1,1,1968,E,,743
