id,link
11285680,https://www.immoweb.be/en/classified/house/for-sale/passendale/8980/11285680
11354002,https://www.immoweb.be/en/classified/house/for-sale/chapelle-lez-herlaimont/7160/11354002
11354001,https://www.immoweb.be/en/classified/country-cottage/for-sale/frasnes-lez-buissenal/7911/11354001
11354000,https://www.immoweb.be/en/classified/house/for-sale/bierbeek/3360/11354000
11353999,https://www.immoweb.be/en/classified/bungalow/for-sale/schilde/2970/11353999
11353998,https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/11353998
11353994,https://www.immoweb.be/en/classified/apartment-block/for-sale/peronnes-lez-antoing/7640/11353994
11353993,https://www.immoweb.be/en/classified/house/for-sale/binche/7130/11353993
11353990,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1020/11353990
11353984,https://www.immoweb.be/en/classified/house/for-sale/boom/2850/11353984
11353979,https://www.immoweb.be/en/classified/villa/for-sale/erquelinnes/6560/11353979
11353971,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-josse-ten-noode/1210/11353971
11353968,https://www.immoweb.be/en/classified/house/for-sale/leuven/3001/11353968
11353967,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ronse/9600/11353967
11353946,https://www.immoweb.be/en/classified/house/for-sale/iddergem/9472/11353946
11353945,https://www.immoweb.be/en/classified/house/for-sale/aalst-herdersem/9300/11353945
11353942,https://www.immoweb.be/en/classified/house/for-sale/waha/6900/11353942
11353941,https://www.immoweb.be/en/classified/house/for-sale/lasne/1380/11353941
11353938,https://www.immoweb.be/en/classified/house/for-sale/namur/5000/11353938
11353937,https://www.immoweb.be/en/classified/house/for-sale/loyers/5101/11353937
11353936,https://www.immoweb.be/en/classified/house/for-sale/lasne/1380/11353936
11353922,https://www.immoweb.be/en/classified/house/for-sale/solre-sur-sambre/6560/11353922
11353920,https://www.immoweb.be/en/classified/house/for-sale/rhode-saint-genese/1640/11353920
11353915,https://www.immoweb.be/en/classified/villa/for-sale/houthalen-helchteren/3530/11353915
11353914,https://www.immoweb.be/en/classified/house/for-sale/verviers-ensival/4800/11353914
11353913,https://www.immoweb.be/en/classified/bungalow/for-sale/wetteren/9230/11353913
11353912,https://www.immoweb.be/en/classified/apartment-block/for-sale/verviers/4800/11353912
11353911,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/11353911
11353903,https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/11353903
11353902,https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/11353902
